Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,30-07-24,2669.41,2709.89,2609.02,2696.65,1.33%,"17,266,391,542.97"
NEPSE,31-07-24,2708.25,2791.02,2707.57,2760.9,2.38%,"21,911,503,161.06"
NEPSE,01-08-24,2772.24,2805.57,2742.53,2755.62,-0.19%,"21,713,431,007.74"
NEPSE,05-08-24,2770.39,2806.69,2744.1,2796.38,1.47%,"21,864,992,277.64"
NEPSE,06-08-24,2802.04,2815.94,2644.85,2651.32,-5.18%,"23,716,716,874.10"
NEPSE,07-08-24,2644.73,2759.67,2630.86,2759.67,4.08%,"17,950,918,627.83"
NEPSE,08-08-24,2772.84,2811.15,2744.86,2766.38,0.24%,"20,070,434,103.38"
NEPSE,11-08-24,2780.09,2860.96,2779.24,2860.91,3.41%,"25,779,453,509.90"
NEPSE,12-08-24,2876.48,2937.4,2876.46,2931.65,2.47%,"27,242,034,765.89"
NEPSE,13-08-24,2947.7,2971.69,2891.43,2923.46,-0.27%,"21,515,010,633.31"
NEPSE,14-08-24,2936.62,2959.19,2883.81,2957.75,1.17%,"23,430,581,150.48"
NEPSE,15-08-24,2979.6,3036.64,2975.11,3000.81,1.45%,"29,958,519,216.95"
NEPSE,18-08-24,3017.2,3048.15,2945.49,2966.33,-1.14%,"28,836,997,376.12"
NEPSE,21-08-24,2981.03,3002.74,2943.61,2968.44,0.07%,"18,906,373,792.01"
NEPSE,22-08-24,2974.78,3018.93,2967.47,2974.46,0.20%,"19,160,652,085.56"
NEPSE,25-08-24,2987.06,2990.04,2885.39,2894.57,-2.68%,"19,740,593,800.64"
NEPSE,27-08-24,2899.8,2902.75,2770.39,2782.6,-3.86%,"18,649,533,170.35"
NEPSE,28-08-24,2791.09,2860.89,2761.02,2786.4,0.13%,"13,727,368,393.64"
NEPSE,29-08-24,2791.3,2800.28,2727.57,2749.57,-1.32%,"12,243,601,365.90"
NEPSE,01-09-24,2749.68,2781.75,2686.61,2695.93,-1.95%,"10,517,682,349.32"
NEPSE,02-09-24,2698,2823.7,2678.91,2823.25,4.72%,"13,104,631,802.67"
NEPSE,03-09-24,2834.42,2860.43,2802.92,2830.16,0.24%,"13,577,105,289.17"
NEPSE,04-09-24,2860.07,2860.39,2732.4,2739.46,-3.20%,"12,925,688,215.22"
NEPSE,05-09-24,2740.21,2758.92,2686.62,2727.36,-0.44%,"9,651,513,246.31"
